round,slice,client_id,is_mal,metric,value
21,last_block,8,True,V_all,5.9814560700033326e-06
21,last_block,9,True,score_cos_all,0.7800676375627518
21,last_block,9,True,score_unit_mse,7.16975046088919e-05
21,last_block,9,True,score_nmse,4.7427225947990845e-05
21,last_block,9,True,V_all,1.8246593072035466e-06
22,head,0,False,score_cos_all,0.7508088499307632
22,head,0,False,score_unit_mse,0.0005842871032655239
22,head,0,False,score_nmse,0.0003992789131435217
22,head,0,False,V_all,0.005473080091178417
22,head,1,False,score_cos_all,0.15368050336837769
22,head,1,False,score_unit_mse,0.00011959572293562815
22,head,1,False,score_nmse,0.0003061391433482701
22,head,1,False,V_all,0.06664490699768066
22,head,2,False,score_cos_all,0.49553054571151733
22,head,2,False,score_unit_mse,0.0003856270050164312
22,head,2,False,score_nmse,0.00029352405660886536
22,head,2,False,V_all,0.007127407006919384
22,head,3,False,score_cos_all,0.5905475616455078
22,head,3,False,score_unit_mse,0.00045957008842378855
22,head,3,False,score_nmse,0.000326842985894706
22,head,3,False,V_all,0.012888534925878048
22,head,4,False,score_cos_all,0.6481956541538239
22,head,4,False,score_unit_mse,0.0005044324207119644
22,head,4,False,score_nmse,0.0006527405609274818
22,head,4,False,V_all,0.001716993167065084
22,head,5,False,score_cos_all,0.6954634487628937
22,head,5,False,score_unit_mse,0.0005412166938185692
22,head,5,False,score_nmse,0.00044123965055869915
22,head,5,False,V_all,0.0029610462952405214
22,head,6,False,score_cos_all,0.8351216912269592
22,head,6,False,score_unit_mse,0.0006499001756310463
22,head,6,False,score_nmse,0.0004532124896157092
22,head,6,False,V_all,0.005098219960927963
22,head,7,True,score_cos_all,1.0500061549246311
22,head,7,True,score_unit_mse,0.0008171256049536169
22,head,7,True,score_nmse,0.0015698772178526158
22,head,7,True,V_all,0.0022409497760236263
22,head,8,True,score_cos_all,1.0075649116188288
22,head,8,True,score_unit_mse,0.0007840971811674535
22,head,8,True,score_nmse,0.0006622608849576731
22,head,8,True,V_all,0.00392882851883769
22,head,9,True,score_cos_all,1.1345512717962265
22,head,9,True,score_unit_mse,0.0008829193538986146
22,head,9,True,score_nmse,0.005625022038341711
22,head,9,True,V_all,0.0018398654647171497
22,last_block,0,False,score_cos_all,0.7531206756830215
22,last_block,0,False,score_unit_mse,6.922072498127818e-05
22,last_block,0,False,score_nmse,4.335555707109271e-05
22,last_block,0,False,V_all,5.3733888307760935e-06
22,last_block,1,False,score_cos_all,0.2446191906929016
22,last_block,1,False,score_unit_mse,2.2483478460344486e-05
22,last_block,1,False,score_nmse,3.78093471619712e-05
22,last_block,1,False,V_all,2.7914889869862236e-05
22,last_block,2,False,score_cos_all,0.8198068141937256
22,last_block,2,False,score_unit_mse,7.534996984759346e-05
22,last_block,2,False,score_nmse,4.732897931313121e-05
22,last_block,2,False,V_all,3.1086451599549036e-06
22,last_block,3,False,score_cos_all,1.0330316461622715
22,last_block,3,False,score_unit_mse,9.49478562688455e-05
22,last_block,3,False,score_nmse,5.6124748368547816e-05
22,last_block,3,False,V_all,3.542590775396093e-06
22,last_block,4,False,score_cos_all,0.6708969175815582
22,last_block,4,False,score_unit_mse,6.166339153423905e-05
22,last_block,4,False,score_nmse,4.4769780155025235e-05
22,last_block,4,False,V_all,1.4305848026197054e-06
22,last_block,5,False,score_cos_all,0.9402732215821743
22,last_block,5,False,score_unit_mse,8.64222674863413e-05
22,last_block,5,False,score_nmse,6.2825754741104e-05
22,last_block,5,False,V_all,1.7062184269889258e-06
22,last_block,6,False,score_cos_all,0.7738865166902542
22,last_block,6,False,score_unit_mse,7.11294196662493e-05
22,last_block,6,False,score_nmse,4.4592333265955295e-05
22,last_block,6,False,V_all,3.8990874600131065e-06
22,last_block,7,True,score_cos_all,0.8280252516269684
22,last_block,7,True,score_unit_mse,7.610538887092844e-05
22,last_block,7,True,score_nmse,6.559075536865608e-05
22,last_block,7,True,V_all,1.107493631025136e-06
22,last_block,8,True,score_cos_all,0.6264324486255646
22,last_block,8,True,score_unit_mse,5.757661710958928e-05
22,last_block,8,True,score_nmse,4.0126819334532534e-05
22,last_block,8,True,V_all,7.159546385082649e-06
22,last_block,9,True,score_cos_all,0.8638899475336075
22,last_block,9,True,score_unit_mse,7.940171053633094e-05
22,last_block,9,True,score_nmse,9.999001961497304e-05
22,last_block,9,True,V_all,8.035960377128504e-07
23,head,0,False,score_cos_all,0.7675366699695587
23,head,0,False,score_unit_mse,0.0005973048973828554
23,head,0,False,score_nmse,0.00044913413595406025
23,head,0,False,V_all,0.005070044193416834
23,head,1,False,score_cos_all,0.3144477605819702
23,head,1,False,score_unit_mse,0.0002447064616717398
23,head,1,False,score_nmse,0.0002970034620062461
23,head,1,False,V_all,0.038776639848947525
23,head,2,False,score_cos_all,0.4217108488082886
23,head,2,False,score_unit_mse,0.00032817976898513734
23,head,2,False,score_nmse,0.00028003855740072684
23,head,2,False,V_all,0.012555811554193497
23,head,3,False,score_cos_all,0.7123143970966339
23,head,3,False,score_unit_mse,0.0005543304141610861
23,head,3,False,score_nmse,0.00039604226337774815
23,head,3,False,V_all,0.005799215752631426
23,head,4,False,score_cos_all,0.5416403114795685
23,head,4,False,score_unit_mse,0.0004215100489091128
23,head,4,False,score_nmse,0.00030747320922982525
23,head,4,False,V_all,0.00727974995970726
23,head,5,False,score_cos_all,0.34399205446243286
23,head,5,False,score_unit_mse,0.0002676981093827635
23,head,5,False,score_nmse,0.00028198780033084785
23,head,5,False,V_all,0.021966449916362762
23,head,6,False,score_cos_all,0.7099896371364594
23,head,6,False,score_unit_mse,0.0005525212036445737
23,head,6,False,score_nmse,0.00036222463400767
23,head,6,False,V_all,0.01139939483255148
23,head,7,True,score_cos_all,1.0186343640089035
23,head,7,True,score_unit_mse,0.0007927117985673249
