round,slice,metric,benign,malicious,delta
3,head,score_unit_mse,0.00044827691661859196,0.0004886542349898567,4.037731837126476e-05
3,last_block,V_all,3.323512113898427e-06,6.67106754311438e-06,3.347555429215953e-06
3,last_block,score_cos_all,0.7724249974957534,0.37709073225657147,-0.39533426523918197
3,last_block,score_nmse,8.69777916943632e-05,3.258101494925771e-05,-5.439677674510549e-05
3,last_block,score_unit_mse,7.099503428824911e-05,3.4659171433304437e-05,-3.633586285494468e-05
4,head,V_all,0.010817796756912555,0.00262606143951416,-0.008191735317398394
4,head,score_cos_all,0.5178458328757968,0.7062115768591563,0.18836574398335948
4,head,score_nmse,0.00037622364745471454,0.0006086727864951478,0.00023244913904043322
4,head,score_unit_mse,0.00040299281161943715,0.0005495809697701285,0.00014658815815069134
4,last_block,V_all,5.4375590252675465e-06,2.098282645116948e-06,-3.3392763801505985e-06
4,last_block,score_cos_all,0.7516482270189694,0.6480977088212967,-0.10355051819767269
4,last_block,score_nmse,5.866490026420173e-05,4.675696538781822e-05,-1.1907934876383508e-05
4,last_block,score_unit_mse,6.908540412301331e-05,5.956788663752377e-05,-9.517517485489542e-06
5,head,V_all,0.013254463805684022,0.002441189756306509,-0.010813274049377514
5,head,score_cos_all,0.5337417636598859,0.7695179854830106,0.23577622182312474
5,head,score_nmse,0.00032530384593119465,0.0012271370158089378,0.0009018331698777432
5,head,score_unit_mse,0.00041536323052631427,0.0005988466631000241,0.00018348343257370983
5,last_block,V_all,3.544372378071005e-06,1.0286242968504666e-06,-2.5157480812205383e-06
5,last_block,score_cos_all,0.751238110342196,0.5126603543758392,-0.23857775596635677
5,last_block,score_nmse,4.6356425773143794e-05,4.151991073003758e-05,-4.836515043106213e-06
5,last_block,score_unit_mse,6.904772635607515e-05,4.711963750499611e-05,-2.1928088851079032e-05
6,head,V_all,0.012547897174954414,0.005070896275962393,-0.007477000898992022
6,head,score_cos_all,0.5776038803160191,0.738117719690005,0.1605138393739859
6,head,score_nmse,0.0005300087586930651,0.000579660845101611,4.965208640854597e-05
6,head,score_unit_mse,0.0004494972319142627,0.0005744107572051386,0.0001249135252908759
6,last_block,V_all,3.236420996342661e-06,8.933448346700365e-06,5.697027350357704e-06
6,last_block,score_cos_all,0.7465132858072009,0.40044528245925903,-0.34606800334794185
6,last_block,score_nmse,0.00010508754715299868,3.44390835191716e-05,-7.064846363382708e-05
6,last_block,score_unit_mse,6.861347927562227e-05,3.680579114491896e-05,-3.180768813070331e-05
7,head,V_all,0.014857021127162235,0.0035298008006066084,-0.011327220326555627
7,head,score_cos_all,0.5760059484413692,0.8364638909697533,0.26045794252838406
7,head,score_nmse,0.0004030447378204007,0.0006142876053726802,0.00021124286755227947
7,head,score_unit_mse,0.00044825358781963587,0.0006509446927035848,0.00020269110488394893
7,last_block,V_all,4.665165680047981e-06,3.1472549153477303e-06,-1.5179107647002506e-06
7,last_block,score_cos_all,0.7563093325921467,0.6230045159657797,-0.13330481662636706
7,last_block,score_nmse,4.9999491529191996e-05,4.0467010530790104e-05,-9.532480998401891e-06
7,last_block,score_unit_mse,6.951383745347681e-05,5.726155965627792e-05,-1.2252277797198897e-05
8,head,V_all,0.03210005323801722,0.00468665873631835,-0.02741339450169887
8,head,score_cos_all,0.5875865604196276,0.9435899006202817,0.35600334020065405
8,head,score_nmse,0.0004274521938293207,0.007606671670703451,0.00717921947687413
8,head,score_unit_mse,0.00045726584046081243,0.0007343112568681439,0.0002770454164073315
8,last_block,V_all,5.568825242465079e-06,1.0870125303578486e-06,-4.4818127121072305e-06
8,last_block,score_cos_all,0.6995063009006637,0.7498807708422343,0.05037446994157058
8,last_block,score_nmse,4.224311669531052e-05,5.544832681614063e-05,1.3205210120830111e-05
8,last_block,score_unit_mse,6.429295951550427e-05,6.892296611719455e-05,4.630006601690279e-06
9,head,V_all,0.015602767999683107,0.0042868781213959055,-0.011315889878287202
9,head,score_cos_all,0.4698435217142105,1.0281599946320057,0.5583164729177952
9,head,score_nmse,0.00031844386100919267,0.0015821693967124153,0.0012637255357032227
