round,x_type,slice,metric,benign,malicious,delta
1,g,head,V_loo,0.0007696007170514869,0.0006951340765226632,-7.44666405288237e-05
1,g,head,cos_all,0.5708801618644169,0.6255364616711935,0.054656299806776554
1,g,head,cos_loo,0.4464100833450045,0.5088574985663096,0.06244741522130509
1,g,head,norm,1.5275811638150896,1.5280360380808513,0.00045487426576173995
1,g,last_block,V_all,2.0978173909367926e-05,2.249322763721769e-05,1.5150537278497634e-06
1,g,last_block,V_loo,2.5898979272044797e-05,2.776941922396266e-05,1.870439951917864e-06
1,g,last_block,cos_all,0.6363572904041835,0.6662009954452515,0.029843705041067925
1,g,last_block,cos_loo,0.5336880215576717,0.5598912437756857,0.026203222218013966
1,g,last_block,norm,0.8689151661736625,0.9262109200159708,0.05729575384230834
1,gI,head,V_all,0.11198154118444238,0.03794875741004944,-0.07403278377439294
1,gI,head,V_loo,0.13824881107679435,0.04685031964133183,-0.09139849143546253
1,gI,head,cos_all,0.49130318207400187,0.44838004807631177,-0.0429231339976901
1,gI,head,cos_loo,0.4026630680475916,0.3736148302753766,-0.02904823777221499
1,gI,head,norm,14.656018393380302,7.955209414164226,-6.7008089792160765
1,gI,last_block,V_all,5.7236460569194084e-06,4.621392236003885e-06,-1.1022538209155234e-06
1,gI,last_block,V_loo,7.066229175377105e-06,5.705422457443395e-06,-1.3608067179337101e-06
1,gI,last_block,cos_all,0.5226914754935673,0.4959892729918162,-0.026702202501751093
1,gI,last_block,cos_loo,0.3870684632233211,0.34793345133463544,-0.03913501188868568
1,gI,last_block,norm,0.3628678343125752,0.3514471153418223,-0.011420718970752863
2,I,head,V_all,0.00023441673173303052,0.0002957649315552165,6.134819982218597e-05
2,I,head,V_loo,0.00028940336778759956,0.00036514192712881294,7.573855934121337e-05
2,I,head,cos_all,0.6934532182557243,0.601307878891627,-0.0921453393640973
2,I,head,cos_loo,0.6074174216815403,0.4899436632792155,-0.11747375840232482
2,I,head,norm,0.9439613478524345,0.8990964690844218,-0.044864878768012706
2,I,last_block,V_all,1.7017309070459824e-06,1.8559909828278858e-06,1.5426007578190338e-07
2,I,last_block,V_loo,2.1009022199385593e-06,2.2913468834910114e-06,1.9044466355245207e-07
2,I,last_block,cos_all,0.7894636988639832,0.72945237159729,-0.060011327266693115
2,I,last_block,cos_loo,0.7363649095807757,0.6518829663594564,-0.0844819432213193
2,I,last_block,norm,0.2450569463627679,0.26596618195374805,0.020909235590980152
2,g,head,V_all,0.0004252190660086593,0.0004212337953504175,-3.985270658241828e-06
2,g,head,V_loo,0.000524961792897167,0.0005200417169059316,-4.920075991235386e-06
2,g,head,cos_all,0.3858672337872641,0.7100205818812052,0.3241533480939411
2,g,head,cos_loo,0.21318284741469792,0.5627237359682719,0.3495408885535739
2,g,head,norm,1.108993215220315,1.3712585767110188,0.2622653614907038
2,g,last_block,V_all,1.9375399720697066e-05,2.36623376016117e-05,4.2869378809146336e-06
2,g,last_block,V_loo,2.3920244919801397e-05,2.921276245615445e-05,5.292517536353053e-06
2,g,last_block,cos_all,0.44917463830539156,0.7330158948898315,0.28384125658444
2,g,last_block,cos_loo,0.3075803156409945,0.6002293626467387,0.2926490470057442
2,g,last_block,norm,0.7065550599779401,0.9708655476570129,0.26431048767907284
2,gI,head,V_all,0.009759767479928476,0.014866885884354511,0.005107118404426035
2,gI,head,V_loo,0.01204909460752138,0.018354180036112666,0.006305085428591286
2,gI,head,cos_all,0.49436305250440327,0.43540478746096295,-0.05895826504344032
2,gI,head,cos_loo,0.3151793884379523,0.24325533459583917,-0.07192405384211312
