round,x_type,slice,metric,group,client,value
0,I,head,V_loo,malicious,9,0.0017736623995006084
0,I,head,norm,malicious,9,2.548703670501709
0,I,head,cos_all,malicious,9,0.7586774230003357
0,I,head,cos_loo,malicious,9,0.6049788594245911
0,I,last_block,V_all,benign,0,1.1606682619458297e-06
0,I,last_block,V_loo,benign,0,1.43292379561899e-06
0,I,last_block,norm,benign,0,0.19609466195106506
0,I,last_block,cos_all,benign,0,0.6721333861351013
0,I,last_block,cos_loo,benign,0,0.6115442514419556
0,I,last_block,V_all,benign,1,8.283982424472924e-07
0,I,last_block,V_loo,benign,1,1.0227139455309953e-06
0,I,last_block,norm,benign,1,0.1689484566450119
0,I,last_block,cos_all,benign,1,0.7397581338882446
0,I,last_block,cos_loo,benign,1,0.6968368291854858
0,I,last_block,V_all,benign,2,3.2789532724564197e-06
0,I,last_block,V_loo,benign,2,4.048089977004565e-06
0,I,last_block,norm,benign,2,0.3935821056365967
0,I,last_block,cos_all,benign,2,0.7899592518806458
0,I,last_block,cos_loo,benign,2,0.6931073069572449
0,I,last_block,V_all,benign,3,1.0051952585854451e-06
0,I,last_block,V_loo,benign,3,1.240981646333239e-06
0,I,last_block,norm,benign,3,0.22459575533866882
0,I,last_block,cos_all,benign,3,0.7610856294631958
0,I,last_block,cos_loo,benign,3,0.7060610055923462
0,I,last_block,V_all,benign,4,1.6148592294484843e-06
0,I,last_block,V_loo,benign,4,1.993653086174163e-06
0,I,last_block,norm,benign,4,0.26580122113227844
0,I,last_block,cos_all,benign,4,0.7095730304718018
0,I,last_block,cos_loo,benign,4,0.6317396759986877
0,I,last_block,V_all,benign,5,2.0563329599099234e-06
0,I,last_block,V_loo,benign,5,2.5386823381268186e-06
0,I,last_block,norm,benign,5,0.29157596826553345
0,I,last_block,cos_all,benign,5,0.6884045004844666
0,I,last_block,cos_loo,benign,5,0.5971359014511108
0,I,last_block,V_all,benign,6,3.7756142319267383e-06
0,I,last_block,V_loo,benign,6,4.661252205551136e-06
0,I,last_block,norm,benign,6,0.35205742716789246
0,I,last_block,cos_all,benign,6,0.5811047554016113
0,I,last_block,cos_loo,benign,6,0.4427542984485626
0,I,last_block,V_all,malicious,7,8.717049126971688e-07
0,I,last_block,V_loo,malicious,7,1.0761788189483923e-06
0,I,last_block,norm,malicious,7,0.12968187034130096
0,I,last_block,cos_all,malicious,7,0.7150670886039734
0,I,last_block,cos_loo,malicious,7,0.68040531873703
0,I,last_block,V_all,malicious,8,2.42037208408874e-06
0,I,last_block,V_loo,malicious,8,2.9881139198550954e-06
0,I,last_block,norm,malicious,8,0.3114531636238098
0,I,last_block,cos_all,malicious,8,0.6776952147483826
